iteration: 22920, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22940, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22960, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 22980, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23000, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23020, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23040, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23060, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23080, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23100, loss: 0.0025, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23120, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23140, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23160, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23180, loss: 0.0022, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23200, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23220, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23240, loss: 0.0024, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23260, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23280, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23300, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23320, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23340, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23360, loss: 0.0022, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23380, loss: 0.0022, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23400, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23420, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23440, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23460, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23480, loss: 0.0020, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23500, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23520, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23540, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23560, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23580, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23600, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23620, loss: 0.0020, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23640, loss: 0.0022, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23660, loss: 0.0022, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23680, loss: 0.0024, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23700, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23720, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23740, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23760, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23780, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23800, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23820, loss: 0.0020, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23840, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23860, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23880, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23900, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23920, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23940, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23960, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 23980, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24000, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24020, loss: 0.0024, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24040, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24060, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24080, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24100, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24120, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24140, loss: 0.0021, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24160, loss: 0.0025, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24180, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24200, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24220, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24240, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24260, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24280, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24300, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24320, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24340, loss: 0.0021, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24360, loss: 0.0020, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
